URI,SmallURI,LargeURI,ImageWidth,Type,Priority,Caption,Taxon,Character,State,UseFor,TipStyle
https://photos.smugmug.com/Discover-Life-Uploads/Sep-24/i-RKZtxfR/0/80d8b933/X4/Andrena%20chlorogaster%2CJF%2Cdorsal%2CIAE%20111352-X4.jpg,,,100%,image-web,,Dorsal view,A. chlorogaster,,,,
https://photos.smugmug.com/Discover-Life-Uploads/Sep-24/i-zzKjLxb/0/e1e0836f/X3/Andrena%20chlorogaster%2CJF%2Chead%2CIAE%20111033-X3.jpg,,,100%,image-web,,Face,A. chlorogaster,,,,
# T2 Surface,,,100%,image-web,,,,,,,
https://photos.smugmug.com/Discover-Life-Uploads/DL-Andrena-traits-1/i-R3TwJ3K/0/43f38463/O/T2%20no%20pits.jpg,,,100%,image-web,,,,T2Surface,Granular,,
https://photos.smugmug.com/Discover-Life-Uploads/DL-Andrena-traits-1/i-XJXsZm3/0/55232b4e/X4/T2%20%20pits%20shiny-X4.jpg,,,100%,image-web,,,,T2Surface,Smooth,,
#,,,100%,image-web,,,,,,,
#T2 Pits,,,,,,,,,,,
https://photos.smugmug.com/Discover-Life-Uploads/DL-Andrena-traits-1/i-R3TwJ3K/0/43f38463/O/T2%20no%20pits.jpg,,,100%,image-web,,,,T2Pits,"Absent, indistinct",,
https://photos.smugmug.com/Discover-Life-Uploads/DL-Andrena-traits-1/i-LTrq2bq/0/3653525d/X4/T2%20pits-X4.jpg,,,100%,image-web,,,,T2Pits,1to3,,
#,,,,,,,,T2Pits,3to6,,
https://photos.smugmug.com/Discover-Life-Uploads/DL-Oct-30/i-jLPxMnf/0/a6a7f442/X4/Andrena%2Cabdomen%2Cpits%20close%2Cprunorum-X4.jpg,,,100%,image-web,,,,T2Pits,LessThanOne,,
#Clypeus surface,,,100%,image-web,,,,,,,
https://photos.smugmug.com/Discover-Life-Uploads/DL-Andrena-traits-1/i-vpDdgNG/0/35669dbd/O/clypeus%20dull.jpg,,,100%,image-web,,,,Clypeus,Dull,,
https://photos.smugmug.com/Discover-Life-Uploads/DL-Andrena-traits-1/i-7Pmns39/0/188c6621/X4/clypeus%20shiny%20and%20dull-X4.jpg,,,100%,image-web,,,,Clypeus,ShinyDull,,
#,,,100%,image-web,,,,,,,
#Malar space,,,100%,image-web,,,,,,,
https://photos.smugmug.com/Discover-Life-Uploads/DL-Andrena-traits-1/i-gQSdkrs/0/ff1c4ed1/O/malar%20space%20short.jpg,,,100%,image-web,,,,Malar,Xshort,,
#,,,100%,image-web,,,,Malar,Short,,
https://photos.smugmug.com/Discover-Life-Uploads/DL-Aug16/i-Lk8HmS6/0/b9861875/O/Andrena%2Chead%2Cmalarspace%20short.jpg,,,100%,image-web,,,,Malar,Moderate,,
